,Skåne,2013,Bensin,16300,Manuell,59900,Peugeot 208 5-dörrar 1.2 VTi 82hk/BES/NY SERVAD,Peugeot,208 5-dörrar,Unknown,82
,Skåne,2004,Bensin,25900,Manuell,16999,Peugeot 307 Break 2.0 XS Euro 3,Peugeot,307 Break,Unknown,Unknown
,Halland,2019,Bensin,12800,Automat,289900,Lexus ES ES 300h 2.5 E-CVT LUXURY TAKLUCKA SKINN,Lexus,ES ES,Unknown,Unknown
,Västernorrland,2013,Diesel,18501,Manuell,99800,Volkswagen Golf 1.6 TDI 105hk 4M M-Värmare B-Kamera Drag,Volkswagen,Golf 1,1.6,105
,Västernorrland,2018,Diesel,7620,Manuell,184800,Volvo V40 Cross Country D3 150hk D-Värmare VOC Välservad,Volvo,V40 Cross,Unknown,150
,Västernorrland,2019,Diesel,15238,Automat,278900,Volvo V90 D4 200hk R-Design Värmare B-Kamera Navi Drag VOC,Volvo,V90 D4,Unknown,200
,Skåne,2019,Diesel,8062,Automat,274800,Mercedes-Benz C 200 d AMG Kamera Navi Ambient Halvskinn Drag,Mercedes-Benz,C 200,Unknown,Unknown
,Stockholm,2015,Bensin,12365,Manuell,67900,Citroën C1 5dr 1.2 VTi Nyservad 82hk,Citroën,C1 5dr,Unknown,82
,Stockholm,2021,Miljöbränsle/Hybrid,4150,Automat,247900,MG EHS PHEV Luxury Pebble Black Pano Navi Skinn 360° 258hk,MG,EHS PHEV,Unknown,258
,Stockholm,2016,Bensin,9606,Manuell,114800,Seat Leon 1.2 TSI P-sensorer Nyservad 110hk,Seat,Leon 1,1.2,110
